                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.21869,                0.21536,                0.30776,                0.87069,                0.95234,                0.98889,                0.95462,                0.95317,                0.95234,                0.98889,                0.95462,                0.95042,                0.14771,                0.12601,                0.21832,                0.76634,             0.00063125,             0.00063125,             0.00063125
                     52,                0.21326,                0.22194,                0.28665,                0.87042,                 0.9492,                0.98889,                0.96772,                0.96592,                 0.9492,                0.98889,                0.96772,                0.96349,                0.15483,                0.13059,                0.22053,                0.76946,             0.00061887,             0.00061887,             0.00061887
                     53,                 0.2039,                0.21094,                0.29181,                0.87026,                0.94811,                0.98889,                0.95516,                0.95366,                0.94811,                0.98889,                0.95516,                0.95155,                 0.1324,                0.12897,                0.20878,                0.76006,              0.0006065,              0.0006065,              0.0006065
                     54,                0.19536,                0.18411,                0.27218,                0.86385,                0.95445,                0.98855,                0.96551,                 0.9633,                0.95445,                0.98855,                0.96551,                0.96151,                0.15981,                0.13465,                0.23077,                0.77133,             0.00059413,             0.00059413,             0.00059413
                     55,                0.21754,                0.24064,                0.31958,                0.87981,                0.95152,                0.98851,                0.96474,                0.96224,                0.95152,                0.98851,                0.96474,                0.95971,                0.15556,                0.13138,                0.22188,                0.77385,             0.00058175,             0.00058175,             0.00058175
                     56,                0.20433,                0.21424,                0.29339,                0.86945,                0.95145,                0.98609,                 0.9643,                0.95926,                0.95145,                0.98609,                 0.9643,                0.96047,                0.13325,                0.12559,                 0.1985,                0.75807,             0.00056938,             0.00056938,             0.00056938
                     57,                0.21298,                0.20859,                0.28943,                0.87976,                0.95253,                0.98821,                0.96279,                0.96122,                0.95253,                0.98821,                0.96279,                0.95895,                0.14339,                0.13349,                0.22572,                0.76926,               0.000557,               0.000557,               0.000557
                     58,                0.20406,                0.21347,                0.26204,                 0.8755,                0.95214,                0.98579,                0.95562,                0.95258,                0.95214,                0.98579,                0.95562,                0.94842,                0.14269,                0.14111,                0.22238,                0.76649,             0.00054463,             0.00054463,             0.00054463
                     59,                0.21476,                0.21282,                0.28367,                0.88048,                0.94002,                0.98402,                0.95095,                0.94799,                0.94002,                0.98402,                0.95095,                0.94671,                0.14017,                0.12817,                0.23462,                0.76929,             0.00053225,             0.00053225,             0.00053225
                     60,                0.19622,                0.20514,                0.26314,                0.86201,                0.95036,                0.98604,                0.96001,                0.95859,                0.95036,                0.98604,                0.96001,                0.95539,                  0.128,                0.12434,                0.19754,                0.75686,             0.00051988,             0.00051988,             0.00051988
                     61,                0.20825,                0.21958,                0.29626,                0.88172,                0.94447,                0.98689,                 0.9553,                0.95391,                0.94447,                0.98689,                 0.9553,                0.95108,                0.13019,                0.13134,                0.21077,                0.76034,              0.0005075,              0.0005075,              0.0005075
